Employee_Code,First_Name,Last_Name,Department_ID,Store_ID,Email,Phone_Number,Designation,Salary,Hire_Date,Status
EMP00001,Arjun,Bhakta,7,4,usane@example.org,9534789965,HR Executive,76124.43,2018-08-08,Active
EMP00002,Ucchal,Ganesan,6,24,karpeoliver@example.org,9388799711,Marketing Executive,70807.69,2020-03-23,Active
EMP00003,Azad,Bajwa,2,7,arjunradhakrishnan@example.net,9442739480,Customer Support,56675.73,2020-01-03,Active
EMP00004,Kevin,Bava,4,9,ridhibiswas@example.com,9933927723,Customer Support,48600.37,2020-04-03,Active
EMP00005,Omaja,Karpe,7,25,darpan74@example.net,9417068668,Assistant Manager,91345.71,2024-07-11,Active
EMP00006,Yahvi,Mann,5,14,nnarain@example.org,9225658728,Customer Support,60901.62,2020-11-22,Active
EMP00007,Hredhaan,Mangat,7,14,champakrajagopal@example.net,9223869559,Supervisor,81372.34,2019-06-25,Active
EMP00008,Wridesh,Dara,5,3,aryacontractor@example.net,9607293835,Assistant Manager,85048.79,2025-05-27,Inactive
EMP00009,Krisha,Saraf,9,15,kdubey@example.net,9273921990,Supervisor,88421.93,2024-01-08,Active
EMP00010,Aarna,Roy,3,19,duttdaksh@example.org,9079614452,HR Executive,49096.87,2026-06-01,Active
EMP00011,Samuel,Sha,3,23,farhan54@example.com,9691362775,Customer Support,37537.05,2025-12-16,Active
EMP00012,Balhaar,Sengupta,7,5,galaomkaar@example.com,9798051893,Customer Support,26016.27,2020-05-11,Active
EMP00013,Sanya,Muni,8,13,smitra@example.org,9733562415,Supervisor,106064.17,2019-06-30,Active
EMP00014,Harsh,Pingle,1,9,ramaswamyharish@example.net,9592250965,Customer Support,68537.97,2026-03-30,Active
EMP00015,Idika,Banerjee,9,20,ewarrior@example.org,9044401123,HR Executive,101464.33,2024-10-22,Active
EMP00016,Veer,Sane,6,2,grewaltamanna@example.com,9467956510,Accountant,61048.45,2025-10-12,Active
EMP00017,Jason,Pingle,8,12,jkeer@example.net,9969778103,Sales Executive,109557.18,2023-05-30,Active
EMP00018,Janya,Rao,8,13,henry86@example.net,9820260030,Assistant Manager,28723.41,2018-09-22,Active
EMP00019,Pushti,Bal,3,14,reva46@example.org,9298648303,Store Manager,67499.73,2025-04-22,Active
EMP00020,Victor,Rajagopal,9,15,siddharth94@example.net,9419133646,HR Executive,100811.43,2024-11-20,Active
EMP00021,Kiaan,Rajan,9,16,suhaniben@example.com,9377166495,Sales Executive,114883.42,2020-10-26,Active
EMP00022,Riya,Pradhan,7,7,noahpillai@example.org,9789125471,Marketing Executive,62584.7,2025-01-13,Active
EMP00023,Christopher,Kapoor,10,19,sawhneydavid@example.com,9389564069,Inventory Manager,118636.3,2024-05-17,Active
EMP00024,Meghana,Nanda,1,20,rayaanvasa@example.com,9247947798,Sales Executive,112787.49,2024-01-12,Active
